Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Outlet_Years,Item_Visibility_MeanRatio,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDW12,8.315,0.035399923,144.5444,OUT027,4064.0432,28,0.9073565158740481,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCB30,14.6,0.025698134,196.5084,OUT035,1587.2672,9,0.830879277061293,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDC37,15.5,0.057556998,107.6938,OUT019,214.3876,28,1.4001017843082437,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDR28,13.85,0.025896485,165.021,OUT046,4078.025,16,0.9977857938893345,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCD06,13.0,0.099887103,45.90600000000001,OUT017,838.908,6,1.0035584629112677,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDV10,7.645,0.06669343700000001,42.3112,OUT035,1065.28,9,1.3308318456082506,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRJ59,11.65,0.019356132,39.1164,OUT013,308.9312,26,1.0561012785271164,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDE51,5.925,0.161466534,45.5086,OUT010,178.4344,15,1.390779585451742,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDC14,14.5,0.072221801,43.6454,OUT019,125.8362,28,1.6623108281002748,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV38,19.25,0.170348551,55.7956,OUT010,163.7868,15,1.4440173570865151,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCS17,18.6,0.080829372,96.4436,OUT018,2741.7644,4,1.0029482739188142,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP33,18.7,0.08556526183333334,256.6672,OUT018,3068.0064,4,1.0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,0.14129689414285715,93.1436,OUT045,2174.5028,11,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH01,17.5,0.097904029,174.8738,OUT046,2085.2856,16,0.8690040989458369,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NCX29,10.0,0.08929113699999999,146.7102,OUT049,3791.0652,14,0.8494155173620084,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDV20,20.2,0.059511812,128.0678,OUT027,2797.6916,28,0.945020527448791,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
DRZ11,8.85,0.113123893,122.5388,OUT018,1609.9044,4,1.0027970103240023,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDX10,6.385000000000002,0.123111453,36.9874,OUT027,388.1614,28,0.9944509267341657,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB34,15.25,0.026480954,87.6198,OUT027,2180.495,28,0.9067994382722705,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.102511504,230.6352,OUT046,3435.528,16,0.9021677878599483,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK43,9.8,0.02681843,126.002,OUT013,2150.534,26,0.886395893739413,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA46,13.6,0.117818348,192.9136,OUT049,2527.3768,14,1.0009916175079747,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC02,21.35,0.06910283099999999,259.9278,OUT018,6768.5228,4,0.9029432247464673,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDL50,12.15,0.042277867,126.5046,OUT013,373.5138,26,0.9965636795510625,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM39,6.42,0.08949892599999999,178.1002,OUT010,358.2004,15,1.475034508970051,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCP05,19.6,0.021101573,153.3024,OUT045,2428.8384,11,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDV49,10.0,0.025879577,265.2226,OUT045,5815.0972,11,1.001589882218445,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,0.121632721,60.622,OUT046,2576.646,16,0.8703209432274566,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS02,10.195,0.25539489600000004,196.8794,OUT019,780.3176,28,1.839891467690555,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCL17,7.39,0.067779712,143.8812,OUT046,3134.5864,16,0.9976204487568417,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDM40,10.195,0.159803853,141.5154,OUT013,850.8924,26,1.4993756114347132,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR13,9.895,0.028696932,117.0492,OUT013,810.9444,26,0.9975729965176114,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA43,10.895,0.065041581,196.3794,OUT017,3121.2704,6,0.8855960961324091,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,0.028760013,151.4708,OUT017,4815.0656,6,1.0044681048166684,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDK21,7.905,0.010053105,249.0408,OUT018,6258.52,4,0.9151200106675108,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,0.048157338,106.1622,OUT045,2117.244,11,0.9135444048667141,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DRK35,8.365,0.071958197,38.0506,OUT049,796.9626,14,0.84977679669688,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDY21,15.1,0.17348130399999998,194.511,OUT046,4910.275,16,1.2636749635257547,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI26,5.94,0.061082177,180.0344,OUT019,892.172,28,1.5795664691579507,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDM20,10.0,0.0232488068,246.9144,OUT018,3185.1872,4,1.0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDV27,7.97,0.040071131,87.3514,OUT045,1062.6168,11,0.7997977402469445,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF09,6.215,0.012090074,38.2848,OUT027,484.7024,28,0.9948602766106077,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDY40,15.5,0.15028599,51.0692,OUT019,147.8076,28,1.4132152321083333,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDY45,17.5,0.026015519,255.8356,OUT027,2543.356,28,1.1921693427453848,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDC46,17.7,0.195068226,185.4266,OUT010,184.4266,15,1.526559956581351,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDH19,19.35,0.033082215,172.5738,OUT035,4865.6664,9,0.9025033636908053,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ03,13.65,0.078946455,186.024,OUT045,1118.544,11,1.0711429317938141,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH37,17.6,0.041700756,164.8526,OUT045,2302.3364,11,0.8894938822861084,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,0.14342264300000002,95.841,OUT046,2027.361,16,0.9989871435433431,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDJ58,15.6,0.105296072,170.1764,OUT046,3435.528,16,0.8484883858774449,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDL12,15.85,0.121531501,59.222,OUT013,599.22,26,0.8695966818186086,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDH35,18.25,0.056988493333333334,164.7526,OUT045,4604.6728,11,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDG02,7.855,0.011324862,189.6188,OUT017,2285.0256,6,0.8736089180195864,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0.186357148,254.3698,OUT049,5580.7356,14,1.037367912432441,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDC29,8.39,0.024205661,114.0176,OUT046,2290.3520000000008,16,0.9992261936164709,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ10,12.85,0.033230816,172.3422,OUT049,1207.0954,14,0.9043192954878387,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDN48,13.35,0.113720344,89.9804,OUT019,643.1628,28,1.5219827105910262,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDL04,19.0,0.112556507,104.9622,OUT017,1587.933,6,1.0054306358168554,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,0.0434213736,222.5456,OUT045,5305.0944,11,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD58,7.76,0.059352240999999986,101.87,OUT046,1697.79,16,0.8881058706122892,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN04,11.8,0.014087057,180.3344,OUT046,1427.4752,16,1.165484998009291,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV45,16.75,0.045230944,187.9556,OUT018,4693.89,4,0.9065714951294783,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCL18,18.85,0.293417759,194.6136,OUT019,583.2408,28,1.5791630222747792,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDR12,12.6,0.031382044,171.3764,OUT027,3091.9752,28,0.8836739937983247,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDG20,15.5,0.12639886,177.0028,OUT017,2479.4392,6,0.8843963035953681,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ55,6.055,0.025403898,160.99200000000005,OUT035,2716.4640000000004,9,0.9986913188770223,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDQ49,20.2,0.039057677,155.963,OUT027,3285.723,28,0.8652260114281753,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN33,6.305,0.123115764,95.6436,OUT046,661.8052,16,1.0010310559959184,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN27,20.85,0.039624006,117.2808,OUT049,1523.3504,14,1.3369558068505059,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDW20,20.75,0.040421193,122.173,OUT010,369.519,15,1.4342927846122457,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRG27,8.895,0.105274111,39.9138,OUT049,690.4346,14,1.0532805687088755,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRI25,19.6,0.033970195,55.1614,OUT045,1381.535,11,0.9136209138602582,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDA44,19.7,0.053212652,57.893,OUT035,622.523,9,0.921352677093045,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCR17,9.8,0.024378706,114.5492,OUT035,1274.3412,9,0.9988296793150883,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDU04,7.93,0.009714595,120.0414,OUT019,487.3656,28,2.3331031594487794,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDF41,12.15,0.131383762,246.046,OUT049,1231.73,14,1.0001428335821854,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDB56,8.75,0.07461309,187.4556,OUT035,3755.112,9,1.1651575812317863,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCP18,12.15,0.028459761,149.9708,OUT027,4363.6532,28,0.9939815463645768,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDB56,8.75,0.07462720099999999,187.8556,OUT046,1314.2892,16,1.1653779385260459,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDT28,13.3,0.063695084,151.0708,OUT045,1805.6496,11,1.000657479038771,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD10,20.6,0.045797829000000005,178.5344,OUT027,2854.9504,28,1.0428486655575557,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDW57,8.31,0.115857223,179.1028,OUT049,3896.2616,14,1.2477905387444859,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRB48,16.75,0.024832806,38.7822,OUT013,667.7974,26,1.0477941215030182,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDP09,19.75,0.034027909,212.0902,OUT018,3185.853,4,0.8728846682169278,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDH14,17.1,0.0467696,141.1838,OUT013,2247.7408,26,0.8293743935342626,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA47,10.5,0.116576702,163.121,OUT013,1794.331,26,1.198029722826489,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDG12,6.635,0.004224196666666667,121.3098,OUT045,2530.7058,11,1.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRE60,9.395,0.278974075,225.372,OUT019,679.1160000000001,28,1.554236934407836,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,14.15,0.035913805,41.4138,OUT013,812.2760000000002,26,1.1654340908136664,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDD03,13.3,0.079806266,232.53,OUT046,699.09,16,0.9982612829610846,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS52,8.89,0.005505481,102.4016,OUT017,2732.4432,6,0.8530289760479389,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW39,6.69,0.064625342,176.937,OUT019,176.437,28,1.8270234176091389,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDX34,6.195,0.071636937,121.7098,OUT027,4097.3332,28,0.99472231242595,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV11,9.1,0.07503556575,173.2054,OUT045,3151.8972,11,1.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD17,7.5,0.032677677999999995,239.0906,OUT049,5942.265,14,1.049187545890023,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDZ16,16.85,0.160760054,192.4478,OUT017,4843.695,6,0.8127109130444516,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ46,7.485,0.06911065,109.0228,OUT035,2542.0244,9,0.997045204761887,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRA12,11.6,0.041177505,140.3154,OUT017,2552.6772,6,1.2885616761980008,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,0.040081193,227.0694,OUT018,1141.847,4,1.000310840835566,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCF19,13.0,0.035307322,47.5034,OUT017,680.4476,6,0.8737352885509778,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0.063017847,159.0578,OUT045,2085.9514,11,0.8994150084567096,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDB14,20.25,0.171938781,92.512,OUT010,186.424,15,1.7553261366522466,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDJ38,8.6,0.040197932,190.153,OUT035,3036.048,9,0.9981035677346621,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDW11,12.6,0.049058014,62.7194,OUT017,866.8716,6,1.0045293329709672,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,0.01161096,95.041,OUT035,868.8689999999998,9,1.0486427836891896,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRI49,14.15,0.183507295,82.4276,OUT046,1137.1864,16,0.9985240537514383,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,0.102349519,52.7956,OUT017,928.1252,6,0.8676004642120853,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,0.08670898699999999,151.7682,OUT013,762.341,26,1.1661391319394203,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NCP30,20.5,0.032835147,40.2822,OUT045,707.0796,11,1.001464650108189,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDY25,12.0,0.033809913,180.5976,OUT027,7968.2944,28,0.9943509837076948,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCH54,13.5,0.07266912,160.292,OUT046,1438.128,16,0.8082214567844889,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NCR53,12.15,0.144338493,224.4404,OUT027,6976.2524,28,0.9387826425518622,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDS52,8.89,0.009163216,101.7016,OUT010,101.2016,15,1.4197649145980327,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDG02,7.855,0.011307038,188.5188,OUT018,952.094,4,0.8722339603949565,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,0.076855628,116.0492,OUT046,1969.4364,16,0.9986322230840355,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDH35,18.25,0.059956876,165.4526,OUT027,5262.4832,28,1.0520874038431618,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB51,6.92,0.038532062,60.5852,OUT045,1314.2892,11,1.0002381398116789,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX44,9.3,0.043209581,90.8172,OUT017,535.3032,6,1.0047486362989948,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCN07,18.5,0.056816465,132.1284,OUT010,263.6568,15,1.5255089605772434,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NCC31,8.02,0.019866705,154.5972,OUT035,1402.1748,9,1.0881819803382147,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NCX54,9.195,0.048331717,105.1622,OUT017,1693.7952,6,0.9168523734212936,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
NCO55,12.8,0.091221855,105.5938,OUT045,2143.876,11,0.7796761014753127,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NCC30,16.6,0.027622076,177.6344,OUT049,2676.516,14,0.8825315072178719,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDI16,14.0,0.128357683,53.06399999999999,OUT035,905.488,9,1.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDP16,18.6,0.039355947,246.3802,OUT049,7370.406,14,0.8808625329084496,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
